Centroid Distance (Euclidean),Centroid Distance (Cosine),Avg Cosine Similarity (Novice),Avg Cosine Similarity (Expert),Avg Dist to Centroid (Novice),Avg Dist to Centroid (Expert),PCA Explained Variance Ratio (1st),PCA Components > 95% Variance,Convex Hull Area (Novice),Convex Hull Area (Expert),Intra-cluster Distance Mean (Novice),Intra-cluster Distance Std (Novice),Intra-cluster Distance Mean (Expert),Intra-cluster Distance Std (Expert),Inter-cluster Distance Mean,KL Divergence (Novice || Expert),Spectral Entropy,KDE Mean Log Density (Novice),KDE Mean Log Density (Expert),Topic,Label
0.36880165,0.24138701,0.24338564,0.2637218,0.84886634,0.8399891,0.08286256,42,0.6332007789818768,0.7051194804481082,1.2236949521158698,0.12569575730356025,1.2098768667803905,0.09356471016908588,1.2502151540122513,0.0,2.6322562664882856,-353.5806240338018,-353.56452469495645,decision making,Expert
0.33072495,0.15166575,0.34181392,0.31272608,0.7871519,0.80401516,0.08639193,34,0.6552505351754777,0.6921025156232883,1.1410479782848535,0.11992368143335481,1.166842204660803,0.11413631298520635,1.1737680487549773,0.0,2.5113762701952473,-353.48352225955335,-353.50574020209626,vision,Novice
0.42408255,0.2779029,0.23782419,0.2918238,0.83082837,0.8099394,0.12847234,22,0.6726765335176879,0.5327309826027092,1.2268798620968482,0.13826582464113277,1.1875185457397286,0.07843518206049317,1.2347276756252508,0.0,2.274094442584222,-353.53493561469844,-353.50628185880765,AI refined,Expert
0.41049272,0.22113055,0.36188215,0.2761286,0.75715715,0.82239324,0.13137838,24,0.641606608165677,0.6791781193623071,1.1237225569080882,0.1161181219899083,1.1969578466987043,0.12261654322193533,1.1900886661335397,0.0,2.327756036232829,-353.42730295319484,-353.5320121608746,arts,Novice
0.29538092,0.11802852,0.32528022,0.34440702,0.79422176,0.78656995,0.10223777,31,0.7122908943601639,0.6273258125601485,1.1558484529067694,0.11599111246325931,1.1399004740649734,0.10868666293363735,1.15529555033236,0.0,2.4670471383275117,-353.48902076821895,-353.4796210351891,language,Expert
0.3348627,0.12581694,0.33224997,0.43967053,0.7801572,0.721012,0.121533565,25,0.7233775863480498,0.6074931890028042,1.1464785275296656,0.14521395217216493,1.0526099797902992,0.11256631334813388,1.113112378194447,0.0,2.3384877298347324,-353.4662057229881,-353.38207193888604,memory,Expert
0.39836627,0.2529986,0.24908917,0.2952665,0.83846927,0.8104975,0.111932896,30,0.7058151696895951,0.7294402433272794,1.2200643904704582,0.11517182772816274,1.1799906694860927,0.1307247642126999,1.232927525924457,0.0,2.448907505488159,-353.55675416425015,-353.5176643955565,mental health,Expert
0.36768866,0.16713881,0.3357857,0.3660063,0.7752513,0.7590249,0.11196393,21,0.580188233330691,0.5569338695919411,1.1430251315126425,0.14806116664825306,1.1211568635260938,0.10485606249862624,1.1450693410509964,0.0,2.250538723282488,-353.4582960565164,-353.43069417175,mind,Expert
0.38106596,0.18635619,0.33070886,0.35943076,0.7858106,0.76651466,0.10900844,25,0.6510743988536862,0.8457087995811636,1.1521424851754551,0.10559348651832137,1.122645287247127,0.14424298634700167,1.1628198652933486,0.0,2.342363277614279,-353.4708998833108,-353.4506443259102,morals,Expert
0.35302106,0.134426,0.35605493,0.45146203,0.76278675,0.7055909,0.13037029,21,0.8015971896908517,0.5166955537565555,1.1241270943879658,0.1556552688042257,1.0390597074589027,0.13202563046297378,1.0967175874952957,0.0,2.261273787798989,-353.43981082279214,-353.3605208007824,robotics,Expert
0.31035492,0.10359919,0.40155587,0.44388747,0.7391235,0.7109463,0.11456065,24,0.7228700515061317,0.4816091524318085,1.0844109523358283,0.14471085889458965,1.0429400865020075,0.15652819407222968,1.0721340564453448,0.0,2.3285802486429827,-353.4104046183945,-353.3725510989386,time,Expert
0.4042303,0.19506937,0.41172406,0.3500169,0.73709273,0.7795982,0.1198923,30,0.7488316322509854,0.5488514554023259,1.0742804055415451,0.1499114935116992,1.1327179793707225,0.13006242708936366,1.14731007419138,0.0,2.437671633957137,-353.4091988872486,-353.4683511000407,creativity,Novice
